swaps_id,swaps_transaction_timestamp,swaps_logIndex,swaps_pair_id,swaps_pair_token0_symbol,swaps_pair_token0_decimals,swaps_pair_token1_symbol,swaps_pair_token1_decimals,swaps_amount0In,swaps_amount1Out,swaps_amountUSD,dateTime,calDate
0xedf21af8db6d4e70a40377cf80fe1fd6fb52abbc4cf2ce53188773743fbf8b17-0,1677014699,110,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,327.958667079,3462.2724147507147,3462.2724147507147,2023-02-21 21:24:59,2023-02-22
0xfec262ce50b0db3cdcb3d6d4af6fcd1ac0eb2b91683571cf443f7ae6fe6e346d-0,1676968811,101,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,274.359923236,2940.734218567897,2940.734218567897,2023-02-21 08:40:11,2023-02-22
0xd4f1c446c78a12f8329cc4bb38416169470f15ea200f3cfb3b118df86a9c5e4f-0,1676583755,367,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,353.728337688,3786.8076943441997,3786.8076943441997,2023-02-16 21:42:35,2023-02-21
0x9d153005d579b05e979c41eb8b32460f5d0d4f59be1aba094dab786f543d6f23-0,1676336387,71,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,113.237461872,1176.5296536263354,1176.5296536263354,2023-02-14 00:59:47,2023-02-21
0xdd856a3728d592f141bbf37751719f33461b179f36e3e5e6f8403076d4f072d7-0,1675983923,63,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,204.937387719,2090.229189031845,2090.229189031845,2023-02-09 23:05:23,2023-02-19
0x4abc297bc4747083f54f7c15456f14e3554de75d8438a5036655a142d7d4c7c4-0,1675969247,168,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,25.0,250.7089310847774,250.7089310847774,2023-02-09 19:00:47,2023-02-19
0xfd43ee3ac2c5341d22187cc38b9248cc3a5e81d9348dc2e4b3ef13d90119334e-0,1675335575,44,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,217.807970898,2204.726665875026,2204.726665875026,2023-02-02 10:59:35,2023-02-19
0xebd8ef87a63bff70b582d36c62c5f8f588510d0f523283821c19dc92a0104dc4-0,1675335575,49,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,573.0,5695.312692251263,5695.312692251263,2023-02-02 10:59:35,2023-02-19
0x9a8275200bc30e7a3b376871be1b241fe32b715d698cec7b48a393e79e786237-0,1675079759,43,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,140.700469948,1382.8262640674632,1382.8262640674632,2023-01-30 11:55:59,2023-02-18
0xf93e80fbbb8ca7d151cfb40db74cc5c401f991ce4c64418b7daa8b81c8183ecf-0,1675069415,99,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,210.92775315,2084.472762617706,2084.472762617706,2023-01-30 09:03:35,2023-02-18
0xfbbc77be352eccf643293b9addcfa5351a6111b075b5c16af4b83575629694ba-0,1675051715,5,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,535.2381,5205.463704276522,5205.463704276522,2023-01-30 04:08:35,2023-02-17
0x697b76ea23cc081e148c09815587812e5c48bad504533034b2c67dca442e051b-0,1675051295,69,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,387.0063,3795.481232710346,3795.481232710346,2023-01-30 04:01:35,2023-02-17
0xad1943fb1ba025ab693f546ad870e4891221d4f24aec7cc6dc68420013e1a5ba-0,1674766043,131,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,128.724,1272.6298346505416,1272.6298346505416,2023-01-26 20:47:23,2023-02-16
0xc5552a13e631de21413cf4bcaf916fd64b45a722d8964f799bcbfc50a0225287-0,1674684875,318,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,154.0,1524.4652724691002,1524.4652724691002,2023-01-25 22:14:35,2023-02-15
0x64b535bd1fbdbaa0f5b95507e2f8a234811d0c7da8fcfa582701a37cd8bb3343-0,1674509267,36,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,330.735771283,3247.443039333137,3247.443039333137,2023-01-23 21:27:47,2023-02-15
0x5ea6c0090e0ef08db665f90fc9601f303eb0e7eba883f34c16928677b55ad3ea-0,1674427103,101,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,146.589563767,1450.1152334837,1450.1152334837,2023-01-22 22:38:23,2023-02-15
0x9327acbb24adf3034fb8f8891aa25f8f5a520fa885315edc1c4bfade7c5c43bd-0,1674425339,156,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,134.342611211,1334.834941365288,1334.834941365288,2023-01-22 22:08:59,2023-02-15
0x3733d67dad652e3a7efe10a7092386311142ec23a0a77c293a4b32ca355188ed-0,1674424883,12,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,168.071119783,1677.8937783762992,1677.8937783762992,2023-01-22 22:01:23,2023-02-15
0x76b93cc74424fd66197a5d7d7218ca41bbe190073fd6fed3bfb52a8c0c65eeb1-0,1674376499,43,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,143.148999177,1428.599156021502,1428.599156021502,2023-01-22 08:34:59,2023-02-15
0x2caf4c32cf8c493c5276cd5a33df38fe15eb6ed98d0f13317d262a2aae51c00e-0,1674347603,54,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,175.273034696,1757.9602573918694,1757.9602573918694,2023-01-22 00:33:23,2023-02-15
0x7517c6217d0c093f47133b05369e0c65c5c8324b98c5cabe43c8da3993056e11-0,1674307727,17,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,270.188401628,2687.2968307637234,2687.2968307637234,2023-01-21 13:28:47,2023-02-14
0xf66ff77b54b8b10f92c72766b9e8a6c78be7212eabedb09a2f7bbf7288881fe6-0,1674298931,66,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,207.328286921,2077.2322295384743,2077.2322295384743,2023-01-21 11:02:11,2023-02-14
0xff394a1a3f4e1aba4777f60b858b6076c269aeb28dbe9f29d4965edb03c09a08-0,1673924291,79,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,1412.74081116,14162.198114099578,14162.198114099578,2023-01-17 02:58:11,2023-02-14
0x9ca6c27bdae0613421ce92ea199ac2bff50f0c524a8f45d691c004357b8a6383-0,1673924291,37,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,217.608878805,2267.2584683277664,2267.2584683277664,2023-01-17 02:58:11,2023-02-14
0x1f9f4ca0c567db2f6beba7d0aeba6837403f8662c9d54e8841635222ca1847fc-0,1673311343,309,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,179.838065278,1746.66734207644,1746.66734207644,2023-01-10 00:42:23,2023-02-13
0xff0b392fae138c50395b08f22e0197a7311b1be1579fedcdc79a72edcac9c0bf-0,1673249663,13,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,130.109976844,1272.4335736575724,1272.4335736575724,2023-01-09 07:34:23,2023-02-13
0x392d4a0dea2c10b0fb7b74085dd1465153bc06872a5990d8769f0a19fa769336-0,1673230463,33,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,279.286579822,2743.311728846712,2743.311728846712,2023-01-09 02:14:23,2023-02-13
0x090bf6c83cbfb550e507a164c55f67d85114fc4f67ed780fa28b8d698dcde65b-0,1672108235,246,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,243.78130616,2340.997971428642,2340.997971428642,2022-12-27 02:30:35,2023-02-12
0xa7427d41fcee8bc04365936f30e2ff247af4dcc316b0f19737e6c655cd3ec549-0,1671748043,97,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,126.040704491,1220.1817750703653,1220.1817750703653,2022-12-22 22:27:23,2023-02-12
0x5af96f926ec50201d859b0009288577241bdc904c4b703dae645629bac574be2-0,1671744359,19,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,391.425370415,3826.8401578225116,3826.8401578225116,2022-12-22 21:25:59,2023-02-12
0x00bbed1ae1c6e39c7821ab42e4aba00b4362066b16be7bf8e7e96525805407bf-0,1671742427,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,49.986345111,492.6032188875677,492.6032188875677,2022-12-22 20:53:47,2023-02-11
0x6bf45200da96e75e5bbb0a5fbc7696ea0718c5c2f104a2f2605a6d041dcdd0eb-0,1671716627,8,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,634.109898547,5999.9465000064965,5999.9465000064965,2022-12-22 13:43:47,2023-02-10
0xa2d58f40889d07f43453e2c8c5176e16d4294c6b447921fe5abe2891d391802e-0,1671659351,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,5.486502228,52.50458764875066,52.50458764875066,2022-12-21 21:49:11,2023-02-10
0x534135d7c41d72e8177e3e790d087e7ed7133e7a4f9758a59e981c091ed67b77-0,1671658007,87,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,22.857718667,218.65845538864656,218.65845538864656,2022-12-21 21:26:47,2023-02-09
0xc10d128289d78c6eaf211d445b321687578bb559db4d68c4a1e0f4c1e170483b-0,1671595355,9,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,324.732971121,3125.814895743626,3125.814895743626,2022-12-21 04:02:35,2023-02-09
0x0bcd11ea21d8fd860278142395708109fd6b704bd71900bd8af27f45b2d3d8fc-0,1671469307,35,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,148.773332969,1427.8280759955205,1427.8280759955205,2022-12-19 17:01:47,2023-02-09
0x14aba47db77166ab94c900acbe2ecebb75f072b85bd1948942f2f9bdd6c06b1c-0,1671419219,380,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,124.001341912,1195.9245581875716,1195.9245581875716,2022-12-19 03:06:59,2023-02-09
0x8dc7538e4fad436152ade1823478c4b6527a2f227f6a21eb3e17990efde777d0-0,1671295619,77,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,57.840644349,555.0971871143712,555.0971871143712,2022-12-17 16:46:59,2023-02-09
0xcc8b499cc5d21598b945ecb73cee80ce24f320cf1289b3d044d3350b5fe07c39-0,1671181343,320,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,462.123140792,4387.447638647942,4387.447638647942,2022-12-16 09:02:23,2023-02-07
0xa255faf261ccec491056244fb3297ef2a4643c4fd466a0ccc0866b20acb50a3d-0,1671068927,389,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,245.238315931,2338.6365656822845,2338.6365656822845,2022-12-15 01:48:47,2023-02-06
0x93221a5bd5ad25903adf7d44f408be8b868c4d69d428b98be1aed93d9a548d54-0,1670964179,57,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,145.8183,1385.1957364142393,1385.1957364142393,2022-12-13 20:42:59,2023-02-04
0xf11c35dca235a0295fd9ec694f454d8573b4a9f676ab868cf4343eba5b2236bb-0,1670953883,17,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,395.137147407,3787.1067372942366,3787.1067372942366,2022-12-13 17:51:23,2023-02-04
0x5f0c4e2a713bcd04526d13b0aa9878f99e6a1daf304a819f2360f391eae8da69-0,1670948075,31,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,118.732942413,1147.8740205016022,1147.8740205016022,2022-12-13 16:14:35,2023-02-04
0xdf652d44a7464ff988f7d2b5c50971e00c0677ab776605df1ba8f02dd920b98d-0,1670942699,46,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,218.698754111,2126.2988226718035,2126.2988226718035,2022-12-13 14:44:59,2023-02-04
0xbd4582544fc1076292b8434ee7181162918b798a830bfa20aa5bde0e889395b8-0,1670940887,26,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,333.266806054,3270.400472050058,3270.400472050058,2022-12-13 14:14:47,2023-02-03
0x1144c0b12bf8b724116eee32b4382c845d31833d60515a05afaceb81657d9f38-0,1670914199,56,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,154.326674209,1486.2137238916207,1486.2137238916207,2022-12-13 06:49:59,2023-02-03
0x15f59459fb59ad38f0baa05796ab5804509688e3aeb0fe35d62838f8c05f47a4-0,1670912663,410,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,107.732647384,1042.0482097150752,1042.0482097150752,2022-12-13 06:24:23,2023-02-03
0x0b9a517eaa9948688c2bf432a09d441d59a135b18bf5543b4f356f04c9fcdc56-0,1670907467,499,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,154.642788524,1502.3457913442926,1502.3457913442926,2022-12-13 04:57:47,2023-02-02
0x5a57999e50ea744c5282effc71e37ac660dfff83eec57704d2249a6b4360b1a2-0,1670907455,85,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,224.457328385,2194.5622445123518,2194.5622445123518,2022-12-13 04:57:35,2023-02-02
0x802e4f99e051e728a5e8cd3a9ee2b11e7b7ca0aa285f48078dc23f608ce7d985-0,1670857919,12,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,215.862533034,2043.1904171450765,2043.1904171450765,2022-12-12 15:11:59,2023-02-02
0x1c03710583c5bae821844b3417ebaa6a2b7858e29ea4de7b4266d892698fd5ae-0,1670610131,8,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,300.955015851,2735.997143698989,2735.997143698989,2022-12-09 18:22:11,2023-01-31
0xba58dff80bbfd7eeb779f2efba2936334a01752cbbf3fdc9e147639b48872fb0-0,1670521247,72,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,318.600721059,2881.6951486911257,2881.6951486911257,2022-12-08 17:40:47,2023-01-30
0xb88b4cd4429bdd6ccddcead4cd63630136d24b10f99c284e4c62fd05da1baf15-0,1670521187,19,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,261.428340503,2386.9137135170913,2386.9137135170913,2022-12-08 17:39:47,2023-01-30
0x2669ab881225f5f5d16fbe393da04582b0a6cfaf461dc5bfa09821e88dda1ea1-0,1670397923,39,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,203.293517311,1852.6485630062828,1852.6485630062828,2022-12-07 07:25:23,2023-01-30
0xe3e96f943dbf8ace70b5f840f1f7ac166c1e4d892d8dcb3bccf340018ed5a8b1-0,1670397059,54,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,204.713999405,1878.0120695650473,1878.0120695650473,2022-12-07 07:10:59,2023-01-30
0x6887d8316822f047943d7aadc85837c3362b95a578c63e114613cb933d4971c5-0,1670393567,22,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,232.568198783,2148.8223087500273,2148.8223087500273,2022-12-07 06:12:47,2023-01-30
0xb375ac40dd17eb5f28763f02122d20b01c96c6a215b308f7814f250baf7a3c07-0,1670325659,112,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,201.925764824,1879.0188373462313,1879.0188373462313,2022-12-06 11:20:59,2023-01-30
0x35cfcefa869403427571d05a0118fa48df5916090c53ed83f845b1ac22bddc63-0,1670301191,30,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,188.936836106,1769.4766315747381,1769.4766315747381,2022-12-06 04:33:11,2023-01-30
0x55786a3303f33c607129b8003c43f2b3a5af70641725afe993fc642ec045277a-0,1670297519,46,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,71.97458528,676.9733356684679,676.9733356684679,2022-12-06 03:31:59,2023-01-30
0x9c3c63e4f09e1404ee228a7875d31deb68ab206d1283f19ac056abda0829eeca-0,1670245835,84,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,883.811847468,8043.1111366383575,8043.1111366383575,2022-12-05 13:10:35,2023-01-30
0x49f3113d94fc7aef2726b60242425e47086bdcf008a3e4eadc4b4051613e4efd-0,1670199755,30,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,305.915171309,2796.2373037054895,2796.2373037054895,2022-12-05 00:22:35,2023-01-28
0x60adc291f7fa3b8c2fff5de5479679b3e0be3ba900fe3f3102d89fdc86d7af2b-0,1670195519,70,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,200.214561535,1844.850699685662,1844.850699685662,2022-12-04 23:11:59,2023-01-27
0x119c79aea84c8f40aa2e99754649bffa93b7c7f784996028cc721fd031f700a6-0,1670106359,22,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,186.889718314,1683.1770308500732,1683.1770308500732,2022-12-03 22:25:59,2023-01-25
0xf9cd9557d827607cf0a6c5a0ca513c5f48faaf9091bfb917c744424cb56f37f0-0,1670101607,50,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,119.961012209,1085.4404472366082,1085.4404472366082,2022-12-03 21:06:47,2023-01-24
0x7326309134de35c9fa026d9064b601eae467f1f7e0d19543f7237b0925365b1d-0,1670089967,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,208.441837467,1895.4938782017155,1895.4938782017155,2022-12-03 17:52:47,2023-01-24
0xb77ae2291cb0db098694e025b044ba7d68e92be36fe35f77534106e20423f956-0,1670065367,168,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,199.236969034,1810.9370699163655,1810.9370699163655,2022-12-03 11:02:47,2023-01-24
0xff4b1834b39efa01cbeff3d90a7519da5210817f7e7e5a78247e45d1f3ca8a6a-0,1670054579,15,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,169.944565177,1553.4082825285534,1553.4082825285534,2022-12-03 08:02:59,2023-01-24
0x7c44a5ce86370ad8931766a2f1fd4fd00895f3fb52d4cc1653341aad55b7558b-0,1670028971,65,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,110.039542638,1006.7683200653603,1006.7683200653603,2022-12-03 00:56:11,2023-01-23
0x42a4643a6ff8416394948bd07fb904c6276018d6e1bbd51fd656a98458b47b67-0,1670025683,38,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,246.139237343,2264.3286578402153,2264.3286578402153,2022-12-03 00:01:23,2023-01-23
0xd99ce1d9eafde929c2c259fd35e1b28deec1fb8e6419be4aab4d0e2293ae9b33-0,1670016395,13,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,667.714831829,6070.6553340008195,6070.6553340008195,2022-12-02 21:26:35,2023-01-23
0xc1eb946bbf4f9004894dd24c4046ad0e21aeae58fe7c060c2ed2b94c0a153462-0,1670011211,367,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,140.037181157,1256.5218032205016,1256.5218032205016,2022-12-02 20:00:11,2023-01-22
0x0ab2b3d0b181b7577a4cfd05bffca52df7a22703ec5acc168965f001f36fbc25-0,1670010695,13,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,514.633009672,4663.329474448861,4663.329474448861,2022-12-02 19:51:35,2023-01-22
0x3447601db76a232779b5f8c28e018c819caa2b9852156fc9359623d5c705a482-0,1670010491,34,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,455.220827843,4116.744051620526,4116.744051620526,2022-12-02 19:48:11,2023-01-21
0x5a2ec71f648343228f346c859da600bf75ea7825a8430a0f9d7d536b3ff62928-0,1670010143,60,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,80.206374826,719.1112522672104,719.1112522672104,2022-12-02 19:42:23,2023-01-21
0x6184f560f9570e9112fa6959d7cffddda9ab7da8abad323f5bad5ce3d26e427d-0,1670009399,20,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,1087.549107765,9927.224039495844,9927.224039495844,2022-12-02 19:29:59,2023-01-21
0x6c80e34d9c4ff33197ef500fb72bb34f898911621b5c275b03196502f3036015-0,1670009063,38,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,440.888806132,3983.7108251973004,3983.7108251973004,2022-12-02 19:24:23,2023-01-21
0x0e7c56cd9b6a7641beebcc4f59cdfceb20a3fed0bc872def4044f4008ae3557d-0,1670009003,199,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,82.670158745,740.4880895379023,740.4880895379023,2022-12-02 19:23:23,2023-01-21
0x91d406763c0835b771366da34226f674b60ccba88262b24184ba763ff61856e8-0,1670008943,40,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,580.839905409,5254.850024881444,5254.850024881444,2022-12-02 19:22:23,2023-01-21
0x740d2137c101bda7cc7df4f72f395607fb09d6a587e622fe152ef37266c9b525-0,1670001743,164,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,187.630083656,1677.7084105577528,1677.7084105577528,2022-12-02 17:22:23,2023-01-21
0x3d3b93e9672e36fed09220c24347804a559444ff2eafd4b88195918ca9c7899c-0,1669998755,29,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,297.07909584,2630.993827801386,2630.993827801386,2022-12-02 16:32:35,2023-01-21
0x4ebc42231edd1554153bbbf2254d686d2687850add3a3949face3689839850f2-0,1669997783,61,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,179.327801128,1599.5945508201667,1599.5945508201667,2022-12-02 16:16:23,2023-01-21
0xc529167d76d3be1b5445f4c4c86048dfa686bdb6afcf5e91325f5742ae707e6c-0,1669997099,33,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,396.957789847,3571.8898025507206,3571.8898025507206,2022-12-02 16:04:59,2023-01-21
0x789882fb21c9ea894e90f0d8b73b58f44425ae11b12762bfb679bd7ef062f334-0,1669988015,162,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,261.208319367,2290.991267348382,2290.991267348382,2022-12-02 13:33:35,2023-01-20
0xc7b349dcf82cfecb66908d190322da98dae3f4c5034448c062277e19a3939e8e-0,1669967891,88,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,187.015395943,1651.1699393831962,1651.1699393831962,2022-12-02 07:58:11,2023-01-20
0xa55c777d30281a5159846d08ca9809df83c8721a3ef12739d34251d7eccca607-0,1669924523,32,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,66.936477385,568.6115791314782,568.6115791314782,2022-12-01 19:55:23,2023-01-17
0x590b8a20c8a5b4a14837e3f9ce82febd8480b69d16b4fb929354370a02a4e649-0,1669919567,45,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,100.012070755,843.7985766512479,843.7985766512479,2022-12-01 18:32:47,2023-01-17
0x421221ef68ae2e55c8bcbb1529095ca22110e3ac5fd4700dbfd54e4bef93ab98-0,1669902395,116,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,382.773112964,3252.142178290661,3252.142178290661,2022-12-01 13:46:35,2023-01-17
0xa12dc1f05f562132aa2c21d6b45f3f07515101d1bc1e3dc003de1eb20f345bae-0,1669872767,58,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,324.099396155,2766.4757683838975,2766.4757683838975,2022-12-01 05:32:47,2023-01-16
0x2af40d195236b32a902dcecf076d5b7e3801c21cff2a4e11cf0845ef461dac3f-0,1669831823,46,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,143.11213471,1214.6260353154075,1214.6260353154075,2022-11-30 18:10:23,2023-01-16
0xbccf61904f0e16bcf0ad24162de2b4c93effb2399868ecfda0d1edd6d62b6a5e-0,1669672667,64,0x5769071665eb8db80e7e9226f92336bb2897dcfa,OHM,9,FRAX,18,254.181155601,2037.4206043077938,2037.4206043077938,2022-11-28 21:57:47,2023-01-14
